Typical Measured Spectrum of Semrock FF01-492/SP Optical Filter	
For wavelengths between 320 and 1120 nm, values near or below 1e-6 (Optical Density 6) are measurement noise limited.
For wavelengths < 320 nm and > 1120 nm, values near or below 3e-6 (Optical Density 5.5) are measurement noise limited. 
Data format:  Wavelength (nm) <tab> Transmission (0 to 1)
458.8	0.99098
459.0	0.98966
459.2	0.98887
459.4	0.98811
459.6	0.9875
459.8	0.98617
460.0	0.98635
460.2	0.98627
460.4	0.98646
460.6	0.98674
460.8	0.98783
461.0	0.98807
461.2	0.98993
461.4	0.9905
461.6	0.99075
461.8	0.99111
462.0	0.99166
462.2	0.99265
462.4	0.9916
462.6	0.99092
462.8	0.99043
463.0	0.98882
463.2	0.98761
463.4	0.98713
463.6	0.98594
463.8	0.98576
464.0	0.98478
464.2	0.98494
464.4	0.98479
464.6	0.98599
464.8	0.9867
465.0	0.98769
465.2	0.98871
465.4	0.98992
465.6	0.9905
465.8	0.99043
466.0	0.99106
466.2	0.99098
466.4	0.9901
466.6	0.98959
466.8	0.99003
467.0	0.98867
467.2	0.98796
467.4	0.98714
467.6	0.98657
467.8	0.98541
468.0	0.9857
468.2	0.98522
468.4	0.98408
468.6	0.98419
468.8	0.98389
469.0	0.98358
469.2	0.98343
469.4	0.9824
469.6	0.98165
469.8	0.98067
470.0	0.97958
470.2	0.97827
470.4	0.97783
470.6	0.97849
470.8	0.97865
471.0	0.97849
471.2	0.97955
471.4	0.98072
471.6	0.98219
471.8	0.98396
472.0	0.9863
472.2	0.98892
472.4	0.98991
472.6	0.9919
472.8	0.99282
473.0	0.99347
473.2	0.99388
473.4	0.99378
473.6	0.99372
473.8	0.99125
474.0	0.99031
474.2	0.98914
474.4	0.98804
474.6	0.98717
474.8	0.98583
475.0	0.98568
475.2	0.9866
475.4	0.9866
475.6	0.98731
475.8	0.98787
476.0	0.98919
476.2	0.99024
476.4	0.99114
476.6	0.99172
476.8	0.99144
477.0	0.99064
477.2	0.99071
477.4	0.98991
477.6	0.98879
477.8	0.98777
478.0	0.98756
478.2	0.98756
478.4	0.98707
478.6	0.98714
478.8	0.98716
479.0	0.98682
479.2	0.98681
479.4	0.9858
479.6	0.98524
479.8	0.98419
480.0	0.98265
480.2	0.98155
480.4	0.98092
480.6	0.98118
480.8	0.98122
481.0	0.98187
481.2	0.98231
481.4	0.98226
481.6	0.97907
481.8	0.97127
482.0	0.9523
482.2	0.91285
482.4	0.84378
482.6	0.73525
482.8	0.59359
483.0	0.43972
483.2	0.30242
483.4	0.19726
483.6	0.1261
483.8	0.07838
484.0	0.04876
484.2	0.03093
484.4	0.01984
484.6	0.01305
484.8	0.00872
485.0	0.00554
485.2	0.00373
485.4	0.00258
485.6	0.00181
485.8	0.00129
486.0	9.3103e-04
486.2	6.7661e-04
486.4	4.9542e-04
486.6	3.6279e-04
486.8	2.7213e-04
487.0	2.0639e-04
487.2	1.5729e-04
487.4	1.2134e-04
487.6	9.439e-05
487.8	7.4108e-05
488.0	5.7696e-05
488.2	4.5754e-05
488.4	3.6412e-05
488.6	2.9416e-05
488.8	2.3764e-05
489.0	1.9504e-05
489.2	1.6133e-05
489.4	1.3168e-05
489.6	1.0653e-05
489.8	8.6431e-06
490.0	7.2392e-06
490.2	6.0634e-06
490.4	5.2587e-06
490.6	4.6848e-06
490.8	3.9766e-06
491.0	3.2365e-06
491.2	2.6373e-06
491.4	2.2812e-06
491.6	1.9732e-06
491.8	1.7673e-06
492.0	1.6379e-06
492.2	1.4786e-06
492.4	1.288e-06
492.6	1.122e-06
492.8	8.207e-07
493.0	5.9004e-07
493.2	5.1922e-07
493.4	6.2267e-07
493.6	7.0381e-07
493.8	6.9943e-07
494.0	6.9508e-07
494.2	6.433e-07
494.4	5.8488e-07
494.6	5.5371e-07
494.8	5.8013e-07
495.0	5.9465e-07
495.2	5.599e-07
495.4	5.2719e-07
495.6	4.4432e-07
495.8	3.5629e-07
496.0	3.0524e-07
496.2	3.5722e-07
496.4	4.1668e-07
496.6	4.764e-07
496.8	5.4469e-07
497.0	5.7112e-07
497.2	5.6852e-07
497.4	5.6598e-07
497.6	5.6379e-07
497.8	5.6078e-07
498.0	5.3561e-07
498.2	5.1158e-07
498.4	5.1793e-07
498.6	5.5333e-07
498.8	5.9139e-07
499.0	6.8353e-07
499.2	7.9002e-07
499.4	7.8068e-07
499.6	7.6102e-07
499.8	7.8053e-07
500.0	8.626e-07
500.2	9.5331e-07
500.4	1.0501e-06
500.6	1.1563e-06
500.8	1.2905e-06
501.0	1.4449e-06
501.2	1.5913e-06
501.4	1.6846e-06
501.6	1.7834e-06
501.8	1.8039e-06
502.0	1.8013e-06
502.2	1.7479e-06
502.4	1.6791e-06
502.6	1.6321e-06
502.8	1.6522e-06
503.0	1.6725e-06
503.2	1.6727e-06
503.4	1.6647e-06
503.6	1.5525e-06
503.8	1.3925e-06
504.0	1.2713e-06
504.2	1.3396e-06
504.4	1.4116e-06
504.6	1.4159e-06
504.8	1.3733e-06
505.0	1.3737e-06
505.2	1.4162e-06
505.4	1.46e-06
505.6	1.526e-06
505.8	1.5952e-06
506.0	1.6402e-06
506.2	1.6559e-06
506.4	1.6695e-06
506.6	1.6806e-06
506.8	1.6918e-06
507.0	1.7501e-06
507.2	1.8145e-06
507.4	1.8925e-06
507.6	1.9907e-06
507.8	2.0845e-06
508.0	2.1618e-06
508.2	2.242e-06
508.4	2.2221e-06
508.6	2.1791e-06
508.8	2.1253e-06
509.0	2.0462e-06
509.2	1.9873e-06
509.4	1.9944e-06
509.6	2.0014e-06
509.8	1.9621e-06
510.0	1.904e-06
510.2	1.841e-06
510.4	1.7516e-06
510.6	1.6729e-06
510.8	1.599e-06
511.0	1.5662e-06
511.2	1.6691e-06
511.4	1.6889e-06
511.6	1.6982e-06
511.8	1.6626e-06
512.0	1.7104e-06
512.2	1.8462e-06
512.4	1.8499e-06
512.6	1.7102e-06
512.8	1.6846e-06
513.0	1.711e-06
513.2	1.8005e-06
513.4	1.8321e-06
513.6	1.823e-06
513.8	1.9786e-06
514.0	2.0666e-06
514.2	2.0716e-06
514.4	2.0078e-06
514.6	1.9877e-06
514.8	2.0175e-06
515.0	1.9669e-06
515.2	1.9562e-06
515.4	1.8979e-06
515.6	1.8931e-06
515.8	1.8986e-06
516.0	1.8481e-06
516.2	1.7293e-06
516.4	1.7246e-06
516.6	1.7591e-06
516.8	1.6713e-06
517.0	1.4906e-06
517.2	1.463e-06
517.4	1.5079e-06
517.6	1.4635e-06
517.8	1.4795e-06
518.0	1.2935e-06
518.2	1.5498e-06
518.4	1.5254e-06
518.6	1.4767e-06
518.8	1.4849e-06
519.0	1.4944e-06
519.2	1.4978e-06
519.4	1.5072e-06
519.6	1.4936e-06
519.8	1.5282e-06
520.0	1.6541e-06
520.2	1.8185e-06
520.4	1.7111e-06
520.6	1.7729e-06
520.8	1.8857e-06
521.0	1.8578e-06
521.2	1.8316e-06
521.4	1.9155e-06
521.6	2.1266e-06
521.8	2.0839e-06
522.0	2.1268e-06
522.2	2.0327e-06
522.4	1.9802e-06
522.6	2.0464e-06
522.8	2.1632e-06
523.0	2.2099e-06
523.2	2.0585e-06
523.4	2.0731e-06
523.6	1.9287e-06
523.8	1.9544e-06
524.0	2.0148e-06
524.2	2.0042e-06
524.4	1.8575e-06
524.6	1.8872e-06
524.8	2.0518e-06
525.0	2.056e-06
525.2	1.992e-06
525.4	1.9739e-06
525.6	2.0222e-06
525.8	2.095e-06
526.0	2.0184e-06
526.2	2.1798e-06
526.4	2.0678e-06
526.6	2.0694e-06
526.8	2.168e-06
527.0	2.3015e-06
